번호,시도,시군구명,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지지번주소,소재지도로명주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,경도,위도,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자
2414,강원도,홍천군,의원,01_01_02_P,4250000,PHMA120204250013041100001,20200901,,1,영업/정상,13,영업중,,,,,033-432-8875,,,강원도 홍천군 홍천읍 희망리 368-17,강원도 홍천군 홍천읍 번영로 6-2  3 4 5층,25136,청담한의원,2.0211E+13,U,40:00.0,한의원,127.8801412,37.68644966,,,,,,,,,,,,,,,,
2415,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100021,20200906,,1,영업/정상,13,영업중,,,,,033-763-9034,,,,강원도 원주시 치악로 1791  3층 (개운동),26442,원주시민의원,2.02107E+13,U,40:00.0,의원,127.9543678,37.33932197,,,,,,,,,,,,,,,,
2416,강원도,동해시,의원,01_01_02_P,4210000,PHMA120204210020041100001,20200902,,1,영업/정상,13,영업중,,,,,535-2355,,,강원도 동해시 천곡동 1075-2 다나빌딩,강원도 동해시 천곡로 76  다나빌딩 4층 402호 (천곡동),25768,연세마취통증의학과의원,2.02108E+13,U,40:00.0,의원,129.1126856,37.52007861,,,,,,,,,,,,,,,,
2417,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100006,20200908,,1,영업/정상,13,영업중,,,,,033-653-8841,,,강원도 강릉시 포남동 643,강원도 강릉시 수리골길 6-7  1층 (포남동),25471,엘림의원,2.02103E+13,U,40:00.0,의원,128.9007518,37.7683661,,,,,,,,,,,,,,,,
2418,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100022,20200831,,1,영업/정상,13,영업중,,,,,033-761-1997,,,강원도 원주시 단구동 998-2 202호,강원도 원주시 남원로534번길 54  202호 (단구동),26485,기운내한의원,2.02009E+13,U,40:00.0,한의원,127.951196,37.32546272,,,,,,,,,,,,,,,,
2423,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100025,20200922,,1,영업/정상,13,영업중,,,,,033-900-2875,,,강원도 원주시 반곡동 1967-1 2층,강원도 원주시 혁신로 262  2층 (반곡동),26463,원주토론토치과의원,2.02009E+13,U,40:00.0,치과의원,127.990423,37.32872028,,,,,,,,,,,,,,,,
2424,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100008,20200924,,1,영업/정상,13,영업중,,,,,033-641-1102,,,강원도 강릉시 임당동 81-6,강원도 강릉시 경강로 2085  2층 (임당동),25533,서울베스트마취통증의학과의원,2.02101E+13,U,40:00.0,의원,128.894393,37.75149537,,,,,,,,,,,,,,,,
2425,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100009,20201008,,1,영업/정상,13,영업중,,,,,033-651-6517,,,강원도 강릉시 입암동 238-5 주영프라자,강원도 강릉시 성덕로 328-18  주영프라자 4층 401호 (입암동),25616,스마일가정의학과의원,2.02011E+13,U,40:00.0,의원,128.9192725,37.75193772,,,,,,,,,,,,,,,,
2426,강원도,속초시,의원,01_01_02_P,4230000,PHMA120204230018041100005,20201015,,1,영업/정상,13,영업중,,,,,033-632-7501,,,강원도 속초시 금호동 479-3,강원도 속초시 중앙로 127  4층 (금호동),24835,베스트정형외과의원,2.02103E+13,U,40:00.0,의원,128.5892877,38.20003928,,,,,,,,,,,,,,,,
2427,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100013,20201014,,1,영업/정상,13,영업중,,,,,033-254-2800,,,강원도 춘천시 온의동 589-2,강원도 춘천시 방송길 104  2층 (온의동),24364,더봄치과의원,2.02108E+13,U,40:00.0,치과의원,127.7202189,37.86470209,,,,,,,,,,,,,,,,
2428,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100014,20201015,,1,영업/정상,13,영업중,,,,,033-242-2879,,,강원도 춘천시 우두동 693-6,강원도 춘천시 충열로 1  3층 (우두동),24226,김경수치과의원,2.0201E+13,I,23:10.0,치과의원,127.7287458,37.89836141,,,,,,,,,,,,,,,,
441,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100013,20080410,,1,영업/정상,13,영업중,,,,,033-744-7579,,,강원도 원주시 반곡동 1886번지 5호 파라다이스프라자 301 302호,강원도 원주시 입춘로 110 (반곡동  파라다이스프라자 301 302호),26465,강훈소아청소년과의원,2.01709E+13,I,59:59.0,의원,127.9809817,37.32057515,의원,2,0,0,209.1,111,소아청소년과,,,,0,0,,,0,
442,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100014,20080410,,1,영업/정상,13,영업중,,,,,033-742-2473,,,강원도 원주시 문막읍 문막리 262번지 3호,강원도 원주시 문막읍 문막시장1길 39  2층,26373,연세장상민재활의학과의원,2.02103E+13,U,40:00.0,의원,127.8163556,37.30495696,의원,4,0,0,209.92,122 120 106 105 102 101,내과  신경과  정형외과  신경외과  재활의학과  가정의학과,,,,0,0,,,0,
443,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100015,20080417,,1,영업/정상,13,영업중,,,,,033-743-5075,,,강원도 원주시 반곡동 1886번지 2호 -10번지 애드피아빌딩202호,강원도 원주시 혁신로 55  207호 (반곡동),26465,연세탑이비인후과의원,2.02003E+13,U,40:00.0,의원,127.979726,37.32057482,의원,2,2,2,125,101 113 111 108 114,피부과  성형외과  소아청소년과  이비인후과  내과,,,,0,0,,,0,
444,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100016,20080429,,1,영업/정상,13,영업중,,,,,033-764-7528,,220932,강원도 원주시 개운동 451번지 -4 한신프라자,강원도 원주시 서원대로 383  4층 (개운동  한신플라자),26448,e-플란트미래치과의원,2.01709E+13,I,59:59.0,치과의원,127.9477657,37.32922059,치과의원,2,0,0,297,401,치과,,,,0,0,,,0,
445,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100017,20080529,,1,영업/정상,13,영업중,,,,,033-743-2575,,220150,강원도 원주시 무실동 1641번지 10호 -10번지 애드피아빌딩,강원도 원주시 시청로 84  4층 (무실동  애드피아빌딩),26388,희망정형외과의원,2.01911E+13,U,40:00.0,의원,127.9272947,37.33356063,의원,1,0,0,241,105,정형외과,,,,0,0,,,0,
446,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100018,20080616,,1,영업/정상,13,영업중,,,,,033-747-7527,,,,강원도 원주시 입춘로 110  3층 307호 (반곡동),26465,굿모닝치과의원,2.01709E+13,I,59:59.0,치과의원,127.9811662,37.32053819,치과의원,1,0,0,126,401,치과,,,,0,0,,,0,
447,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100019,20080623,,1,영업/정상,13,영업중,,,,,033-747-6932,,220938,강원도 원주시 단계동 876번지 -5번지,강원도 원주시 서원대로 163 (단계동),26436,연세수비뇨기과의원,2.01709E+13,I,59:59.0,의원,127.9287313,37.34189541,의원,1,0,0,192.5,114 115,비뇨의학과  피부과,,,,0,0,,,0,
448,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100023,20080819,,1,영업/정상,13,영업중,,,,,033-744-3123,,,,강원도 원주시 봉화로 22  302호 (단계동  더파크타워),26436,아나파마취통증의학과의원,2.01709E+13,I,59:59.0,의원,127.928043,37.34333523,의원,3,0,0,241.67,109 105 106 101 111,소아청소년과  내과  신경외과  정형외과  마취통증의학과,,,,0,0,,,0,
449,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100025,20080902,,1,영업/정상,13,영업중,,,,,033-735-7510,,220120,강원도 원주시 태장동 700번지 -37(2층),강원도 원주시 치악로 1965  2층 (태장동),26325,하나한의원,2.01801E+13,I,59:59.0,한의원,127.9554143,37.35649027,한의원,1,0,0,225,301 302 303 305,한방신경정신과  한방소아과  한방부인과  한방내과,,,,0,0,,,0,
450,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100028,20080918,,1,영업/정상,13,영업중,,,,,033-766-7510,,,강원도 원주시 무실동 1718번지 4호,강원도 원주시 시청로 36  1층 (무실동),26387,서동한의원,2.01711E+13,I,59:59.0,한의원,127.9229089,37.33636222,한의원,1,0,0,100,308 307 306 305 304 303 302 301,한방내과  한방부인과  한방소아과  한방안·이비인후·피부과  한방신경정신과  한방재활의학과  사상체질과  침구과,,,,0,0,,,0,
451,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100030,20080919,,1,영업/정상,13,영업중,,,,,033-761-9128,,,강원도 원주시 개운동 385번지,강원도 원주시 치악로 1788 (개운동  동원주새마을금고),26443,연세남부정형외과의원,2.02109E+13,U,40:00.0,의원,127.9549883,37.3392641,의원,2,0,0,790,105 106 101 111 113,내과  정형외과  신경외과  소아청소년과  이비인후과,,,,0,0,,,0,
452,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100035,20081111,,1,영업/정상,13,영업중,,,,,033-765-2851,,,강원도 원주시 단구동 1512번지 3호 한솔프라자 3층,강원도 원주시 서원대로 410 (단구동  한솔프라자),26484,로스윌서울이싫어내려온치과의원,2.01709E+13,I,59:59.0,치과의원,127.9495884,37.32696348,치과의원,1,0,0,0,401,치과,,,,0,0,,,0,
453,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100040,20081007,,1,영업/정상,13,영업중,,,,,033-733-7575,,220956,강원도 원주시 일산동 52번지 27호 3층,강원도 원주시 무실로12번길 24  3층 (일산동),26427,퀸스영상의학과의원,2.01709E+13,I,59:59.0,의원,127.9476096,37.3468333,의원,2,1,2,173,116 101 110 114,피부과  산부인과  내과  영상의학과,,,,0,0,,,0,
454,강원도,원주시,의원,01_01_02_P,4190000,PHMA120084190023041100022,20080805,,1,영업/정상,13,영업중,,,,,033-735-2836,,220120,강원도 원주시 태장동 700번지 -37,강원도 원주시 치악로 1965 (태장동),26325,신호드림치과의원,2.01709E+13,I,59:59.0,치과의원,127.9554143,37.35649027,치과의원,1,0,0,225,401,치과,,,,0,0,,,0,
455,강원도,원주시,의원,01_01_02_P,4190000,PHMA120094190023041100003,20090113,,1,영업/정상,13,영업중,,,,,033-734-1020,,220150,강원도 원주시 무실동 1641-8 쎈터프라자 302 304 305호,강원도 원주시 시청로 80  쎈터프라자 302 304 305호 (무실동),26388,정운기한의원,2.02104E+13,U,40:00.0,한의원,127.926721,37.33391536,한의원,3,0,0,156.4,307 308 306 301 304 303 302,한방부인과  한방소아과  한방안·이비인후·피부과  한방내과  한방재활의학과  침구과  사상체질과,,,,0,0,,,0,
232,강원도,원주시,의원,01_01_02_P,4190000,PHMA120064190023041100014,20060628,,1,영업/정상,13,영업중,,,,,033-761-2755,,220965,강원도 원주시 단구동 1655번지 -8,강원도 원주시 단구로 388  2층 (단구동),26487,우리아이소아청소년과의원,2.01709E+13,I,59:59.0,의원,127.955289,37.31934087,의원,1,0,0,106,111 113 114,피부과  이비인후과  소아청소년과,,,,0,0,,,0,
233,강원도,원주시,의원,01_01_02_P,4190000,PHMA120064190023041100015,20060705,,1,영업/정상,13,영업중,,,,,033-745-2828,,220966,강원도 원주시 태장동 688번지 36호,강원도 원주시 현충로58번길 28  3층 (태장동),26325,장원재치과의원,2.01709E+13,I,59:59.0,치과의원,127.9566283,37.3584354,치과의원,1,0,0,144,401,치과,,,,0,0,,,0,
234,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100015,20021123,,1,영업/정상,13,영업중,,,,,033-766-0428,,220944,강원도 원주시 단구동 1515번지 -12(광덕빌딩2층),강원도 원주시 남원로 528-11  2층 (단구동  광덕빌딩),26484,이앤이치과의원,2.02004E+13,U,40:00.0,치과의원,127.94724,37.32779141,치과의원,1,0,0,173,401,치과,,,,0,0,,,0,
235,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100016,20021202,,1,영업/정상,13,영업중,,,,,033-731-1775,,220904,강원도 원주시 중앙동 118번지 -7,강원도 원주시 원일로 82-3 (중앙동),26428,동의보감한의원,2.02106E+13,U,40:00.0,한의원,127.9502615,37.34589712,한의원,1,0,0,0,301 304 307 302 305 308 303 306,한방재활의학과  한방소아과  침구과  한방신경정신과  한방부인과  사상체질과  한방안·이비인후·피부과  한방내과,,,,0,0,,,0,
236,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100017,20021208,,1,영업/정상,13,영업중,,,,,033-746-2817,,220100,강원도 원주시 단계동 857번지,강원도 원주시 천사로 38  2층 (단계동  선제빌딩),26436,참좋은치과의원,2.01709E+13,I,59:59.0,치과의원,127.9291461,37.34486517,치과의원,1,0,0,181,401,치과,,,,0,0,,,0,
237,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100018,20021213,,1,영업/정상,13,영업중,,,,,033-765-7579,,220942,강원도 원주시 단구동 186번지 11호 2층,강원도 원주시 치악로 1648  2층 (단구동),26451,늘푸른의원,2.01709E+13,I,59:59.0,의원,127.9593311,37.3274319,의원,1,0,0,72,101 105 111 114 113,이비인후과  피부과  소아청소년과  정형외과  내과,,,,0,0,,,0,
238,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100019,20021221,,1,영업/정상,13,영업중,,,,,033-745-5678,,220939,강원도 원주시 단계동 882번지 3호,강원도 원주시 서원대로 180 (단계동),26382,조남천항맥외과의원,2.01801E+13,I,59:59.0,의원,127.9306021,37.34100887,의원,2,3,4,229,101 104 114,피부과  외과  내과,,,,0,0,,,0,
239,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100020,20021230,,1,영업/정상,13,영업중,,,,,033-744-2727,,220939,강원도 원주시 단계동 1086번지 1호,강원도 원주시 원문로 107-8 (단계동),26411,고려외과의원,2.0211E+13,U,40:00.0,의원,127.9344951,37.3531738,의원,1,10,29,504,101 104 105 111,소아청소년과  정형외과  외과  내과,,,,0,0,,,0,
240,강원도,원주시,의원,01_01_02_P,4190000,PHMA120034190023041100001,20030102,,1,영업/정상,13,영업중,,,,,033-766-1177,,220934,강원도 원주시 관설동 1455번지 2호,강원도 원주시 나비허리길 169  2층 (관설동),26471,우리가정의원,2.01709E+13,I,59:59.0,의원,127.9652245,37.31573266,의원,1,0,0,0,101 111 104 114 115 113,이비인후과  비뇨의학과  피부과  외과  소아청소년과  내과,,,,0,0,,,0,
241,강원도,원주시,의원,01_01_02_P,4190000,PHMA120044190023041100017,20041004,,1,영업/정상,13,영업중,,,,,033-746-3344,,220904,강원도 원주시 중앙동 125번지 1호,강원도 원주시 중앙로 75  1호 (중앙동),26428,제일의원,2.01709E+13,I,59:59.0,의원,127.950956,37.3454842,의원,1,0,0,190,116 101 104 114 111,소아청소년과  피부과  외과  내과  영상의학과,,,,0,0,,,0,
242,강원도,원주시,의원,01_01_02_P,4190000,PHMA120044190023041100018,20041005,,1,영업/정상,13,영업중,,,,,033-762-2007,,220931,강원도 원주시 개운동 385번지 4호 양문 153빌딩 3층,강원도 원주시 치악로 1786  3층 (개운동  양문 153빌딩),26443,앨리스의원,2.01709E+13,I,59:59.0,의원,127.9552058,37.3390881,의원,1,0,0,257,101 105 106 120 114 113 109,마취통증의학과  이비인후과  피부과  재활의학과  신경외과  정형외과  내과,,,,0,0,,,0,
243,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100001,20020130,,1,영업/정상,13,영업중,,,,,033-748-7570,,,강원도 원주시 태장동 688번지 36호,강원도 원주시 치악로 2031 (태장동),26325,태장고려의원,2.01709E+13,I,59:59.0,의원,127.9566283,37.3584354,의원,1,0,0,147.72,122 115 114 113 111 105 101,내과  정형외과  소아청소년과  이비인후과  피부과  비뇨의학과  가정의학과,,,,0,0,,,0,
244,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100002,20020205,,1,영업/정상,13,영업중,,,,,033-766-0815,,220042,강원도 원주시 명륜동 414번지,강원도 원주시 예술관길 4  2층 (명륜동),26480,승산한의원,2.01804E+13,I,59:59.0,한의원,127.942917,37.33169405,한의원,1,0,0,129,301 304 307 302 305 308 303 306,한방재활의학과  한방소아과  침구과  한방신경정신과  한방부인과  사상체질과  한방안·이비인후·피부과  한방내과,,,,0,0,,,0,
245,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100003,20020320,,1,영업/정상,13,영업중,,,,,033-763-3600,,220862,강원도 원주시 신림면 신림리 690번지 1호,강원도 원주시 신림면 치악로 1,26506,신림연세의원,2.01904E+13,U,40:00.0,의원,128.0810075,37.22631139,의원,2,0,0,128,101 104 111 105 114 113 115 120 116,영상의학과  재활의학과  비뇨의학과  이비인후과  피부과  정형외과  소아청소년과  외과  내과,,,,0,0,,,0,
246,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100005,20020416,,1,영업/정상,13,영업중,,,,,033-735-7515,,,,강원도 원주시 단구로 397  1층 (단구동),26490,토지한의원,2.02108E+13,U,40:00.0,한의원,127.9531683,37.3171563,한의원,1,0,0,104,308 307 306 305 304 303 302 301,한방내과  한방부인과  한방소아과  한방안·이비인후·피부과  한방신경정신과  한방재활의학과  사상체질과  침구과,,,,0,0,,,0,
247,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100006,20020619,,1,영업/정상,13,영업중,,,,,033-744-7414,,220901,강원도 원주시 원동 33번지 -1,강원도 원주시 일산로 61  4층 (원동),26431,본치과의원,2.01709E+13,I,59:59.0,치과의원,127.9493816,37.34383498,치과의원,1,0,0,130,401,치과,,,,0,0,,,0,
248,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100007,20020625,,1,영업/정상,13,영업중,,,,,033-743-2820,,220955,강원도 원주시 우산동 89번지 12호,강원도 원주시 북원로 2489 (우산동),26343,바른길치과의원,2.02006E+13,U,40:00.0,치과의원,127.9379554,37.36479943,치과의원,2,0,0,230,401,치과,,,,0,0,,,0,
249,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100008,20020716,,1,영업/정상,13,영업중,,,,,033-743-4567,,220939,강원도 원주시 단계동 883번지 6호 3층,강원도 원주시 이화6길 1  3층 (단계동),26382,창문외과의원,2.01709E+13,I,59:59.0,의원,127.9318517,37.3406959,의원,3,6,9,526,101 104 105,정형외과  외과  내과,,,,0,0,,,0,
250,강원도,원주시,의원,01_01_02_P,4190000,PHMA120024190023041100011,20020904,,1,영업/정상,13,영업중,,,,,033-743-3388,,,강원도 원주시 태장동 1375번지 7호,강원도 원주시 태장둔치길 41-1 (태장동),26316,한빛소아청소년과의원,2.01709E+13,I,59:59.0,의원,127.9513429,37.38117773,의원,3,0,0,138,111 114 113,이비인후과  피부과  소아청소년과,,,,0,0,,,0,
251,강원도,원주시,의원,01_01_02_P,4190000,PHMA120064190023041100016,20060711,,1,영업/정상,13,영업중,,,,,033-900-0121,,,강원도 원주시 단구동 1510번지 1호 -1,강원도 원주시 서원대로 380  3층 (단구동  동보노빌리티타워),26484,원주가온한의원,2.02011E+13,U,40:00.0,한의원,127.9467842,37.32887828,한의원,2,0,0,183,308 307 306 305 304 303 302 301,한방내과  한방부인과  한방소아과  한방안·이비인후·피부과  한방신경정신과  한방재활의학과  사상체질과  침구과,,,,0,0,,,0,
