번호,시도,시군구명,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지지번주소,소재지도로명주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,경도,위도,위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총종업원수,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
81,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2016-00001,20160314,,01,영업/정상,01,영업,,,,,033 433 7076,76.02,250801,강원도 홍천군 홍천읍 갈마곡리 78-10번지,강원도 홍천군 홍천읍 갈마로8길 11  102호,25129,CAKE NARA,20160314110037,I,2018-08-31 23:59:59.0,제과점영업,127.90245254066255,37.691119388345065,제과점영업,,,,,상수도전용,,,,,,,,,N,76.02,,,
82,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2016-00003,20161202,,01,영업/정상,01,영업,,,,,033 432 0453,59.47,250874,강원도 홍천군 남면 양덕원리 155-7번지,강원도 홍천군 남면 양덕원로 60,25108,밀베이커리,20161202100613,I,2018-08-31 23:59:59.0,제과점영업,127.76788520037061,37.61173851573868,제과점영업,,,,,상수도전용,,,,,,,,,N,59.47,,,
83,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2016-00004,20161226,,01,영업/정상,01,영업,,,,,033 435 7077,159.68,250807,강원도 홍천군 홍천읍 연봉리 4-46 ,강원도 홍천군 홍천읍 남산강변로 49,25149,카페브리에,20201108102521,U,2020-11-10 02:40:00.0,제과점영업,127.88330139241565,37.68331668084584,제과점영업,,,,,상수도전용,,,,,,,,,N,159.68,,,
84,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2016-00005,20161229,,01,영업/정상,01,영업,,,,,033 433 6679,3.30,250801,강원도 홍천군 홍천읍 갈마곡리 238번지,강원도 홍천군 홍천읍 갈마로3길 8,25131,킹베이커리,20161229164657,I,2018-08-31 23:59:59.0,제과점영업,127.89856842131498,37.69114688978598,제과점영업,,,,,,,,,,,,,,N,3.3,,,
85,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2017-00001,20170424,,01,영업/정상,01,영업,,,,,033 433 7076,3.00,250861,강원도 홍천군 내촌면 도관리 469-1번지,강원도 홍천군 내촌면 도관길 12,25161,케익나라내촌점,20170424172928,I,2018-08-31 23:59:59.0,제과점영업,128.08864335453103,37.81339989259605,제과점영업,,,,,상수도전용,,,,,,,,,N,3,,,
86,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2017-00002,20170814,,01,영업/정상,01,영업,,,,,033 433 7076,3.00,250808,강원도 홍천군 홍천읍 진리 78번지,강원도 홍천군 홍천읍 너브내길 119,25132,로컬케익나라,20170814132005,I,2018-08-31 23:59:59.0,제과점영업,127.89009408601065,37.68855118637232,제과점영업,,,,,상수도전용,,,,,,,,,N,3,,,
87,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2017-00003,20171102,,01,영업/정상,01,영업,,,,,,18.72,250802,강원도 홍천군 홍천읍 태학리 270-38번지,강원도 홍천군 홍천읍 태학여내길 80-3,25126,烋cookie,20171211202003,I,2018-08-31 23:59:59.0,제과점영업,127.90652645077236,37.71008649105672,제과점영업,,,,,상수도전용,,,,,,,,,N,18.72,,,
88,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00001,20180219,,01,영업/정상,01,영업,,,,,033 435 4985,1.00,250807,강원도 홍천군 홍천읍 연봉리 468-3번지 청솔아파트,강원도 홍천군 홍천읍 연봉서로 44  청솔아파트 상가,25144,청솔빵집,20180219135900,I,2018-08-31 23:59:59.0,제과점영업,127.87481007232064,37.67765133868799,제과점영업,,,,,상수도전용,,,,,,,,,N,1,,,
89,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00003,20180524,,01,영업/정상,01,영업,,,,,033 439 1000,20.03,250817,강원도 홍천군 두촌면 괘석리 116번지 ,강원도 홍천군 두촌면 광석로 898-87  지하4층,25160,세이지우드홍천제과점,20200501102748,U,2020-05-03 02:40:00.0,제과점영업,128.11880497312825,37.8859523422793,제과점영업,,,,,전용상수도(특정시설의 자가용 수도),,,,,,,,,N,20.03,,,
90,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00004,20180524,,01,영업/정상,01,영업,,,,,033 439 1000,18.20,250817,강원도 홍천군 두촌면 괘석리 산 25번지 ,강원도 홍천군 두촌면 광석로 898-160,25160,세이지우드홍천제과점(프론트점),20200501102841,U,2020-05-03 02:40:00.0,제과점영업,128.11880497312825,37.8859523422793,제과점영업,,,,,전용상수도(특정시설의 자가용 수도),,,,,,,,,N,18.2,,,
91,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00005,20180702,,01,영업/정상,01,영업,,,,,,10.00,250852,강원도 홍천군 서면 대곡리 57-6번지,강원도 홍천군 서면 한서로 2070,25103,K베이커리,20180702130341,I,2018-08-31 23:59:59.0,제과점영업,127.66590164197588,37.618747643262616,제과점영업,,,,,,,,,,,,,,N,10,,,
92,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00006,20180711,,01,영업/정상,01,영업,,,,,,60.59,250801,강원도 홍천군 홍천읍 갈마곡리 23-33번지,강원도 홍천군 홍천읍 소옥개로 110  홍천축협 하나로마트,25128,쁘띠마망,20180711131531,I,2018-08-31 23:59:59.0,제과점영업,127.90258255182516,37.69680430808488,제과점영업,,,,,상수도전용,,,,,,,,,N,60.59,,,
93,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2018-00014,20181219,,03,폐업,02,폐업,20200610,,,,033734 0092,45.45,220100,강원도 원주시 단계동 1106-4번지 ,강원도 원주시 백간공원길 14  1층 102호 (단계동),26422,세라비베이커리,20200610132204,U,2020-06-12 02:40:00.0,제과점영업,127.92604338638664,37.34648658284208,제과점영업,,,기타,자율,상수도전용,,,,,,,,,N,45.45,,,
94,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2018-00020,20181019,,01,영업/정상,01,영업,,,,,,113.50,210949,강원도 강릉시 홍제동 1024-1번지,강원도 강릉시 선수촌로63번길 30-14  1층 101호 (홍제동),25522,메타트론,20181019172220,I,2018-11-03 13:17:14.0,제과점영업,128.86656499765516,37.75467299360168,제과점영업,,,기타,기타,상수도전용,,,,,,,,,N,113.5,,,
95,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2018-00019,20181130,,03,폐업,02,폐업,20200317,,,,070 44385758,11.25,200938,강원도 춘천시 온의동 511번지 이마트 ,강원도 춘천시 경춘로 2353  이마트 1층 (온의동),24435,토끼방앗간춘천점,20200317112609,U,2020-03-19 02:40:00.0,제과점영업,127.71762024248164,37.86104745350858,제과점영업,,,,,상수도전용,,,,,,,,,N,11.25,,,
96,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2019-00001,20190102,,03,폐업,02,폐업,20201030,,,,,78.14,200959,강원도 춘천시 후평동 735-19 ,강원도 춘천시 만천로205번길 15  1층 (후평동),24297,그랑드포레,20201030164038,U,2020-11-01 02:40:00.0,제과점영업,127.75241552460412,37.88365033437825,제과점영업,,,,,상수도전용,,,,,,,,,N,78.14,,,
97,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2018-00011,20181107,,01,영업/정상,01,영업,,,,,033734 2180,47.20,220801,강원도 원주시 문막읍 동화리 1536-7번지,강원도 원주시 문막읍 왕건로 94  1층,26367,브레드인스토리,20190521120046,U,2019-05-23 02:40:00.0,제과점영업,127.82925610110485,37.324724558242266,제과점영업,,,아파트지역,자율,상수도전용,,,,,,,,,N,47.2,,,
98,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2018-00013,20181206,,01,영업/정상,01,영업,,,,,0338134245,30.00,220160,강원도 원주시 행구동 1710-15 ,강원도 원주시 영랑길 4  1층 (행구동),26456,자연드림원주혁신점,20210426161922,U,2021-04-28 02:40:00.0,제과점영업,127.97072549294381,37.338490150762574,제과점영업,,,기타,자율,상수도전용,,,,,,,,,N,30,,,
99,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2018-00020,20181210,,01,영업/정상,01,영업,,,,,,24.96,200950,강원도 춘천시 효자동 44-37번지,강원도 춘천시 성심로 82  1층 (효자동),24294,슬기네달고나,20181210093001,I,2018-12-12 02:20:14.0,제과점영업,127.74137384667272,37.8738548641595,제과점영업,,,기타,,상수도전용,,,,,,,,,N,24.96,,,
100,강원도,동해시,제과점영업,07_22_18_P,4210000,4210000-121-2018-00004,20181119,,01,영업/정상,01,영업,,,,,033 5313200,40.80,240180,강원도 동해시 동회동 108-1번지 1층 103호,강원도 동해시 효자남길 33  1층 103호 (동회동),25806,보뇌르베이커리2호점,20181214175109,U,2018-12-16 02:40:00.0,제과점영업,129.1075704608703,37.486424829324456,제과점영업,,,주택가주변,,상수도전용,,,,,,,,,N,40.8,,,
149,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2015-00002,20150522,,01,영업/정상,01,영업,,,,,033 434 1880,3.36,250852,강원도 홍천군 서면 두미리 480-4번지 서홍천농협하나로마트내,강원도 홍천군 서면 팔봉산로 542 (서홍천농협하나로마트내),25101,서홍천베이커리,20180219140448,I,2018-08-31 23:59:59.0,제과점영업,127.66213829323941,37.67913470850021,제과점영업,,,,,상수도전용,,,,,,,,,N,3.36,,,
150,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2015-00003,20151013,,01,영업/정상,01,영업,,,,,,48.45,250807,강원도 홍천군 홍천읍 연봉리 471-18번지,강원도 홍천군 홍천읍 연봉서로3길 3,25146,꽃을담다,20180724095803,I,2018-08-31 23:59:59.0,제과점영업,127.87522771104449,37.678042701620925,제과점영업,,,,,상수도전용,,,,,,,,,N,48.45,,,
151,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2016-00005,20160325,,01,영업/정상,01,영업,,,,,033 243 2004,46.75,200080,강원도 춘천시 운교동 181-10번지,강원도 춘천시 춘천로 174-1  1층 (운교동),24329,브라운라이스베이커리,20180801150554,I,2018-08-31 23:59:59.0,제과점영업,127.73285425020083,37.873488695172206,제과점영업,,,기타,,상수도전용,,,,,,,,,N,46.75,,,
152,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2016-00006,20160615,,01,영업/정상,01,영업,,,,,,23.59,200953,강원도 춘천시 효자동 692-1번지,강원도 춘천시 공지로 345  1층 (효자동  수협마트춘천점내),24365,거북당(수협마트춘천점),20170728133819,I,2018-08-31 23:59:59.0,제과점영업,127.72723327464917,37.86661315733487,제과점영업,,,기타,,상수도전용,,,,,,,,,N,23.59,,,
153,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2016-00007,20160818,,01,영업/정상,01,영업,,,,,,31.15,200050,강원도 춘천시 죽림동 23-3번지,강원도 춘천시 중앙로77번길 17  1층 (죽림동  상가정면 좌측에서 세번째상가),24354,꼬삔이식빵,20160818133126,I,2018-08-31 23:59:59.0,제과점영업,127.72636253829685,37.87493227401577,제과점영업,,,기타,,상수도전용,,,,,,,,,N,31.15,,,
154,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2013-00002,20130131,,01,영업/정상,01,영업,,,,,,263.98,200936,강원도 춘천시 석사동 796-2번지,강원도 춘천시 퇴계로 183 (석사동),24386,대원당,20130131172221,I,2018-08-31 23:59:59.0,제과점영업,127.73861793152359,37.85497821967773,제과점영업,,,,,,,,,,,,,,N,263.98,,,
155,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2013-00005,20130705,,03,폐업,02,폐업,20201214,,,,,37.60,200883,강원도 춘천시 동내면 거두리 929-2 신동농협 하나로마트 ,강원도 춘천시 동내면 공지로 80  신동농협 하나로마트 1 2층,24404,오상혁제빵소,20201214171204,U,2020-12-16 02:40:00.0,제과점영업,127.75010076859186,37.85169917722904,제과점영업,,,기타,,,,,,,,,,,N,37.6,,,
156,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2013-00008,20131107,,01,영업/정상,01,영업,,,,,033 253 0082,92.64,200853,강원도 춘천시 동면 장학리 996-1번지,강원도 춘천시 동면 춘천로449번길 30,24209,파리바게뜨춘천장학점,20131111142208,I,2018-08-31 23:59:59.0,제과점영업,127.75307979560662,37.89206707355765,제과점영업,,,기타,,상수도전용,,,,,,,,,N,92.64,,,
157,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2012-00007,20120618,,01,영업/정상,01,영업,,,,,033 261 6358,107.59,200931,강원도 춘천시 근화동 291-20번지,강원도 춘천시 공지로439번길 24 (근화동),24360,파리바게뜨춘천신성점,20120712204328,I,2018-08-31 23:59:59.0,제과점영업,127.71959849223708,37.869509971420214,제과점영업,,,아파트지역,,상수도전용,,,,,,,,,N,107.59,,,
158,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2012-00009,20120809,,01,영업/정상,01,영업,,,,,033 261 1934,16.10,200913,강원도 춘천시 남산면 광판리 591-42번지,강원도 춘천시 남산면 장터골길 32 (광판하나로마트내),24466,하나로베이커리,20150701154453,I,2018-08-31 23:59:59.0,제과점영업,127.70600176602062,37.73132075434035,제과점영업,,,기타,,상수도전용,,,,,,,,,N,16.1,,,
159,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2012-00011,20121002,,01,영업/정상,01,영업,,,,,033 251 8919,32.40,200853,강원도 춘천시 동면 장학리 989번지,강원도 춘천시 동면 소양강로 100-1  1층 101호(우측)호,24209,쁘띠방스,20141014114236,I,2018-08-31 23:59:59.0,제과점영업,127.75051620703731,37.89298610966573,제과점영업,,,아파트지역,,상수도전용,,,,,,,,,N,32.4,,,
160,강원도,속초시,제과점영업,07_22_18_P,4230000,4230000-121-2018-00004,20181101,,01,영업/정상,01,영업,,,,,,46.44,217751,강원도 속초시 조양동 1501번지 부영아파트5단지,강원도 속초시 조양상가길 34  부영아파트5단지 1층 103호 (조양동),24875,한상기베이커리,20190905133747,U,2019-09-07 02:40:00.0,제과점영업,128.5808283728193,38.18577585677446,제과점영업,,,,,,,,,,,,,,N,46.44,,,
161,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2018-00019,20181005,,01,영업/정상,01,영업,,,,,033 661 8613,32.90,210801,강원도 강릉시 주문진읍 교항리 114-3번지,강원도 강릉시 주문진읍 주문로 23,25419,주식회사교동빵집주문진점,20181005094903,I,2018-10-07 02:36:52.0,제과점영업,128.82450392227977,37.88316476643234,제과점영업,1,,기타,기타,상수도전용,,,,,,,,,N,32.9,,,
162,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2018-00021,20181026,,01,영업/정상,01,영업,,,,,,23.60,210020,강원도 강릉시 남문동 135번지,강원도 강릉시 남문길 17-1  1층 (남문동),25538,카멜브레드,20181123102615,U,2018-11-25 02:37:31.0,제과점영업,128.89210514876115,37.74775896069043,제과점영업,1,,기타,기타,상수도전용,,,,,,,,,N,42.3,,,
163,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2018-00018,20181018,,03,폐업,02,폐업,20201208,,,,,53.47,200936,강원도 춘천시 석사동 750-7 ,강원도 춘천시 애막골길7번길 1  1층 (석사동),24323,꼬롱,20201208091656,U,2020-12-10 02:40:00.0,제과점영업,127.74957687439475,37.862513614802374,제과점영업,,,,,상수도전용,,,,,,,,,N,53.47,,,
164,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2018-00016,20180727,,01,영업/정상,01,영업,,,,,,3.50,210924,강원도 강릉시 교동 924-3번지,강원도 강릉시 강릉대로 149  강릉원예농협솔올점 (교동),25505,통밀베이커리(솔올점),20180727102149,I,2018-08-31 23:59:59.0,제과점영업,128.886319237741,37.754545401977104,제과점영업,,1,기타,기타,상수도전용,,,,,,,,,N,3.5,,,
165,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2018-00017,20180731,,01,영업/정상,01,영업,,,,,,34.10,210937,강원도 강릉시 입암동 503-7번지 강동4차아파트,강원도 강릉시 강변로410번길 38  102호 (입암동  강동4차아파트),25580,양박사빵굽네,20191216101839,U,2019-12-18 02:40:00.0,제과점영업,128.88794283445947,37.75011784852795,제과점영업,,,학교정화(절대),기타,상수도전용,,,,,,,,,N,30.02,,,
166,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2018-00007,20180917,,01,영업/정상,01,영업,,,,,033 435 0889,49.58,250807,강원도 홍천군 홍천읍 연봉리 156-7번지,강원도 홍천군 홍천읍 연봉로6길 2,25145,르방베이커리,20190106161854,U,2019-01-08 02:40:00.0,제과점영업,127.87605185937699,37.680196774492366,제과점영업,,,,,상수도전용,,,,,,,,,N,49.58,,,
167,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2018-00017,20180917,,03,폐업,02,폐업,20201005,,,,033 257 0892,51.20,200956,강원도 춘천시 후평동 701-5 ,강원도 춘천시 보안길 59  1층 (후평동),24304,2018브레드,20201005152827,U,2020-10-07 02:40:00.0,제과점영업,127.74987086113745,37.877023873286674,제과점영업,,,기타,,상수도전용,,,,,,,,,N,46,,,
168,강원도,삼척시,제과점영업,07_22_18_P,4240000,4240000-121-1984-00007,19840326,,01,영업/정상,01,영업,,,,,033 5721408,79.02,245030,강원도 삼척시 읍중동 2-33번지,강원도 삼척시 엑스포로 1 (읍중동),25920,풍년제과,20111108092735,I,2018-08-31 23:59:59.0,제과점영업,129.16299897574518,37.43801650398224,제과점영업,1,1,학교정화(상대),,상수도전용,,,,,,,,,N,79.02,,,
169,강원도,삼척시,제과점영업,07_22_18_P,4240000,4240000-121-1986-00005,19860501,,01,영업/정상,01,영업,,,,,033 5723100,28.08,245832,강원도 삼척시 근덕면 교가리 366-11번지,강원도 삼척시 근덕면 교가길 14,25933,문화제과점,20170321093147,I,2018-08-31 23:59:59.0,제과점영업,129.22619115637966,37.377437679887755,제과점영업,1,1,기타,,상수도전용,,,,,,,,,N,28.08,,,
170,강원도,철원군,제과점영업,07_22_18_P,4300000,4300000-121-1993-00018,19930506,,01,영업/정상,01,영업,,,,,033 458 3838,29.75,269840,강원도 철원군 서면 1147-5번지,강원도 철원군 서면 와수로173번길 4-1,24059,르방베이커리,20120305092831,I,2018-08-31 23:59:59.0,제과점영업,127.43746583320588,38.23644258179755,제과점영업,0,0,기타,,상수도전용,,,,,,,,,N,29.75,,,
171,강원도,철원군,제과점영업,07_22_18_P,4300000,4300000-121-2001-00052,19950615,,01,영업/정상,01,영업,,,,,033 4559705,33.84,269815,강원도 철원군 동송읍 이평리 681-31번지,강원도 철원군 동송읍 금학로 219,24014,바게뜨베이커리,20120706134813,I,2018-08-31 23:59:59.0,제과점영업,127.21708497583352,38.2053869725091,제과점영업,0,0,,,상수도전용,,,,,,,,,N,33.84,,,
172,강원도,철원군,제과점영업,07_22_18_P,4300000,4300000-121-2000-00018,19951208,,01,영업/정상,01,영업,,,,,033 4582032,57.00,269841,강원도 철원군 서면 와수리 1140-18번지,강원도 철원군 서면 와수로173번길 17,24059,파리바게트,20120113141854,I,2018-08-31 23:59:59.0,제과점영업,127.4368129419029,38.23605863609545,제과점영업,0,0,기타,,상수도전용,,,,,,,,,N,57,,,
173,강원도,철원군,제과점영업,07_22_18_P,4300000,4300000-121-2001-00035,19980829,,01,영업/정상,01,영업,,,,,033 4587800,47.23,269806,강원도 철원군 갈말읍 지경리 72번지,강원도 철원군 갈말읍 청양로 87-1,24029,까베,20151203145118,I,2018-08-31 23:59:59.0,제과점영업,127.3494811831682,38.23279593572474,제과점영업,0,0,기타,,상수도전용,,,,,,,,,N,47.23,,,
174,강원도,철원군,제과점영업,07_22_18_P,4300000,4300000-121-2001-00057,20010914,,01,영업/정상,01,영업,,,,,033 4559797,26.35,269815,강원도 철원군 동송읍 이평리 679-22번지,강원도 철원군 동송읍 이평로 58,24011,하얏트베이커리,20111130113908,I,2018-08-31 23:59:59.0,제과점영업,127.2168482622245,38.20693285754064,제과점영업,0,0,기타,,상수도전용,,,,,,,,,N,26.35,,,
175,강원도,영월군,제과점영업,07_22_18_P,4270000,4270000-121-1996-00002,19961105,,01,영업/정상,01,영업,,,,,033 3738500,191.06,230808,강원도 영월군 영월읍 하송리 254-12번지,강원도 영월군 영월읍 중앙1로 29,26234,파리바게트,20120208094847,I,2018-08-31 23:59:59.0,제과점영업,128.46493811685082,37.18095665327382,제과점영업,,,,,,,,,,,,,,N,191.06,,,
